text,complexity,domain
WiFi dropping every 20 minutes on my laptop in the east wing. No troubleshooting attempted yet. Only affects me. Please check AP-EAST-03 or my wireless adapter configuration at your earliest convenience.,simple,NETWORKING
DNS not working — can't load any websites but Slack still connects somehow. Tried restarting my computer twice. IP address looks fine showing 10.10.5.77. Haven't touched any settings. Please help urgently,simple,NETWORKING
Firewall blocking access to our supplier portal vendors.acme.com for my account only. Colleagues on same floor reach it fine. No changes made on my end. Can someone whitelist this URL please?,simple,NETWORKING
VPN tunnel drops immediately after connecting — Cisco AnyConnect shows "Secure Gateway Unreachable" error. Happened starting this morning. Only my MacBook affected. No software updates were installed overnight that I know of,simple,NETWORKING
Proxy settings disappeared from my browser after IT pushed a Windows update last night. Internet completely broken now. P1 for me since I cannot do my job without web access. Just need proxy restored,simple,NETWORKING
DHCP lease not renewing on my desktop — stuck at 169.254.80.44 APIPA address since this morning. Ran ipconfig /release and /renew, command fails with timeout. Same port worked last week without issues at all,simple,NETWORKING
SSL certificate on https://intranet.corp.local expired yesterday — every browser showing security warning and blocking access. Only I seem to be bothered by this. Just needs renewal, straightforward fix needed soon,simple,NETWORKING
Switch port Fa0/12 on SW-FLOOR1-WEST showing down/down despite cable being firmly seated. Device is a networked printer model HP LaserJet M404dn. No changes were made to that port recently whatsoever,simple,NETWORKING
NTP sync failing on my Linux workstation — chronyc tracking shows offset of 43 seconds and climbing. Server 10.0.1.20 listed as source but showing unreachable. Only my machine affected as far as I know,simple,NETWORKING
NAT rule seems broken specifically for my PC at 192.168.5.201 — all external websites time out but internal servers load instantly. Every other device on my desk subnet reaches internet without any issues at all,simple,NETWORKING
Port forwarding for TCP 8443 to my dev VM at 10.50.0.15 stopped passing traffic after router reboot last Friday. Single developer affected. No firewall changes were submitted during that maintenance window at all,simple,NETWORKING
Bandwidth severely throttled on wired connection at my desk — showing 800 Kbps on speedtest instead of usual 1 Gbps. Rebooted PC, swapped cables, same result. Please check SW-B2-04 port Gi0/7 speed settings,simple,NETWORKING
LLDP neighbor table empty for my newly deployed workstation on distribution switch DS-02. Port showing up/up state. CDP also showing no neighbors. Desk relocation happened yesterday — suspect port not configured correctly for this VLAN,simple,NETWORKING
ACL on INET-RTR-01 blocking my SSH sessions to jump host 10.30.0.5. Telnet to same host works fine. Other engineers reach the jump host via SSH without any problem. No policy changes were announced,simple,NETWORKING
QoS configuration stripping DSCP markings on my softphone traffic — voice calls choppy only for me. Everyone else on same floor sounds fine. PBX team says the issue is network side. P1 for client calls,simple,NETWORKING
ARP resolution failing for my default gateway 172.16.0.1 since yesterday — arp -a shows gateway as incomplete. Flushed arp cache multiple times, immediately incomplete again. Can ping loopback fine. Single user issue confirmed by checking neighbors,simple,NETWORKING
Trunk port between my desk switch and uplink showing native VLAN mismatch warning in logs — CDP neighbor detail showing "native VLAN mismatch discovered on GigabitEthernet0/1." Only my VLAN 25 resources are inaccessible right now,simple,NETWORKING
Six users in the finance wing reporting intermittent WiFi disconnections since AP firmware was updated at 0300. Rebooted AP-FIN-01 once — issue returned within 15 minutes. Users on adjacent segment completely unaffected throughout the day,moderate,NETWORKING
OSPF neighbor adjacency flapping between CORE-R1 and DIST-R2 every 25 minutes since Tuesday — logs show "dead timer expired." Hello timers verified matching on both interfaces. MTU confirmed 1500 each side. Root cause still unclear,moderate,NETWORKING
BGP session to upstream peer 198.51.100.1 dropping daily at roughly 0400 UTC — hold timer expiring in logs. Keepalives confirmed sending correctly. ISP says their equipment is fine. Wireshark capture scheduled for tonight to investigate,moderate,NETWORKING
