text,complexity
User is not receiving calendar invites from external senders,moderate
Some users are seeing a different version of the company homepage than others. Cache clearing doesn't fix it. CDN config hasn't changed.,moderate
User's home directory is full and they can't save any new files,simple
user roles behaving incorrectly across modules complex mapping issue,complex
server slow response though cpu low maybe io or thread blocking,complex
"After a storage volume expansion, a database that was restored to that volume shows correct data for most tables but two tables appear stuck at a snapshot from two days prior.",complex
"After a SAN controller replacement, one application's write performance degraded by 60% while reads remain normal. Other applications on the same SAN are unaffected. I/O metrics at the SAN level show no bottleneck.",complex
cannot copy paste,simple
excel formulas not calculating automatically,moderate
An API integration between the CRM and billing system stopped syncing customer records. No errors appear in either system's logs and the API credentials are valid.,complex
User needs the time zone on their laptop changed to GMT,simple
sync not updating changes immediately,moderate
VoIP call quality is fine for the first few minutes then becomes choppy. Happens on all calls regardless of who they're with.,moderate
Video plays fine on YouTube but stutters on the internal training portal,moderate
Incoming faxes stopped arriving after the office phone system was updated. Outgoing faxes work.,moderate
One user's Teams status always shows as 'Away' even when they're actively using the computer,moderate
Database query runs in 2 seconds in the dev environment but takes over 4 minutes in production. Table sizes and indexes are identical. Execution plans differ between environments.,complex
distributed services giving inconsistent results timing sync issue,complex
Corporate mobile device is not receiving SMS verification codes for two-factor authentication,moderate
User needs a recurring daily reminder set in Outlook,simple
data inconsistency between two systems after sync maybe timing or api issue,complex
One specific meeting room's video display shows a blurry image when connected via HDMI but is sharp over USB-C,simple
User's right-click context menu takes 10 seconds to appear,moderate
User's Outlook search returns no results for emails older than 3 months,moderate
One user's Teams messages are being delivered with a 10 to 15 minute delay. Real-time for everyone else.,moderate
"After a storage tier migration, a reporting tool started pulling data noticeably slower. The data volume hasn't changed and the network path is the same. Storage latency metrics look normal at the array level but elevated at the host level.",complex
User needs an old archived email thread retrieved from backup,simple
"A department-wide license activation for Adobe Acrobat failed silently. Some machines activated, others didn't. No error logs were generated. The activation server shows all seats as claimed.",complex
Projector in the main conference room doesn't switch inputs automatically when a laptop is connected,simple
User's screen is rotated sideways,simple
User's local admin rights were accidentally removed. Needs them restored.,simple
A file server migration completed but three users consistently get disconnected from their mapped drives every 45 minutes. All other users are stable. Affected users span different departments and floors.,complex
"After a scheduled maintenance window, an internal API gateway started rejecting requests from one upstream service but accepting identical requests from two others. Auth tokens, headers, and payload formats are the same across all three.",complex
Colleague's name is spelled wrong in the company directory,simple
User needs a USB-C to HDMI adapter,simple
"After a recent Active Directory password policy change, users in one branch office are being locked out after one failed attempt instead of the configured five.",complex
An internal API that returns employee data started returning records with fields in a different order than documented. Downstream systems parsing by position are breaking.,complex
A log aggregation pipeline started dropping around 3% of log entries from one server. The server is generating logs correctly and the network path shows no packet loss. Dropped entries follow no identifiable pattern.,complex
User's second monitor stopped being detected after they moved to a new desk,simple
An on-premise application that uses LDAP authentication started failing for users in a specific OU after an AD schema update. Users outside that OU authenticate fine.,complex
User needs a column added to a shared Excel tracker on the team drive,simple
User needs a software license transferred from their old laptop to their new one,simple
usb slow transfer,simple
User's OneDrive is syncing but only uploading files smaller than 50MB. Larger files stay queued indefinitely with no error shown.,moderate
Antivirus quarantined a file that the user needs for their work. They are sure it is safe.,simple
User cannot drag and drop files between two open Explorer windows,moderate
cache inconsistency between environments stale responses,complex
User is getting duplicate calendar invites for every meeting,moderate
Wireless mouse lag is noticeable only during video calls,simple
User needs auto-correct turned off in Word,simple
Printer on the 3rd floor is out of paper,simple
"After deploying a new GPO, machines in one site are applying it correctly, but machines at a remote site connected via VPN are only applying it inconsistently, with no errors in the GP event log",complex
User needs the font in their Outlook reading pane made larger,simple
Remote worker's laptop shows connected to VPN but mapped drives aren't accessible. Pinging the file server by IP works but by hostname fails.,moderate
User needs read-only access to a shared project folder,simple
User's laptop lid close action isn't triggering sleep mode anymore,simple
keyboard not typing,simple
User wants to know how to set an out-of-office reply,simple
A cloud-based HR portal works on all browsers on office machines but fails to load the login page on remote machines going through the corporate proxy,moderate
Wi-Fi signal is weak at one end of the open office. All other areas have full signal.,simple
"Payroll software is accessible to all staff but one manager's account can view records but cannot approve them, despite having the correct role assigned",moderate
file sync conflict creating duplicates,moderate
User's number pad isn't working even though Num Lock is on,simple
A user's machine is showing a software update as available but when they try to install it the progress bar completes and then the same update reappears as available,moderate
Outlook is opening in safe mode every time it's launched,moderate
A software deployment package installs silently on 90% of machines in the fleet but fails on a consistent subset with no logged errors. Affected machines show no obvious configuration differences.,complex
User accidentally archived their entire inbox and needs it restored,simple
User changed their laptop and now their authenticator app codes don't match,simple
"After a DNS server change, internal hostnames resolve correctly from the office but not for remote users even after flushing DNS cache on their machines",complex
User cannot change their profile picture in Teams,simple
User's laptop camera works in Device Manager but shows a black screen in every app,moderate
User's work phone is not ringing for incoming calls but voicemails are being left,moderate
