text,complexity
firewall cluster FW-CLUSTER-A lost state sync between active and standby nodes at 09:15 — failover happened but standby took 11 minutes to pass traffic. 100 percent packet loss to 40 production VIPs during that window. HA heartbeat interface looks up. Sync config mismatch suspected,complex
DHCP not assigning address to my laptop on VLAN 25 in the new open-plan area — getting 0.0.0.0 after timeout. Colleagues nearby on same VLAN get addresses instantly. No config on my machine has changed at all,simple
User's phone keeps disconnecting from the corporate Wi-Fi but stays connected to the guest network,moderate
BGP session between RTR-HQ-01 and our ISP peer 203.0.113.1 dropping once daily around 0300 UTC — hold timer expiring per logs. Keepalives sent correctly. ISP says their side stable. Affects roughly 200 users briefly. Packet capture scheduled,moderate
User's name shows incorrectly in all Microsoft 365 apps after a legal name change.,moderate
Laptop charges to 80% and stops. Battery health shows fine.,moderate
Two buildings share a fiber uplink. One building lost access to internal servers but can still reach the internet. The other building has no issues.,complex
Outlook is showing an old profile photo for a colleague even after they updated it a week ago,simple
Notifications not appearing on desktop.,simple
Keyboard shortcut for screenshot stopped working.,simple
 and executive floor — approximately 400 users. Attempted restore from backup config but switch rejecting VLAN configuration commands due to VTP mode conflict,complex
User can access the internet but internal sites time out. DNS resolves internal names correctly but no response comes back from the servers.,moderate
User's Outlook search returns emails from 2019 but nothing recent.,moderate
"After update, one team's shared drive appears empty until you search for a specific file.",complex
File server folders load slowly for users in one office but fast for another branch.,moderate
Notification sounds playing at random even when system volume is muted.,complex
 cert looks valid,complex
Application works after fresh login but breaks when session exceeds 2 hours. Logs show nothing.,complex
User wants the font size increased on their display for readability,simple
User's headset audio cuts out when they turn their head to the left,simple
A firewall log shows traffic from an internal IP hitting an external blocklisted address repeatedly. The machine shows no malware on scan. The traffic pattern matches a legitimate app's update check but the destination IP doesn't belong to that vendor.,complex
Laptop overheats only when plugged in.,moderate
intermittent api timeout only under load needs deep debugging,complex
User deleted a folder by mistake and needs it recovered,simple
User needs a column added to a shared Excel tracker on the team drive,simple
Software license server is throwing 'No licenses available' errors even though the license count shows unused seats in the admin portal,complex
Speakers distort sound at any volume level.,simple
"One user can edit a shared doc, another with identical access gets read-only.",complex
User needs a monitor stand raised. Current one isn't adjustable.,simple
api failures only under concurrency stress difficult reproduce,complex
User says their sent emails appear in a colleague's sent folder.,complex
Wi-Fi signal is weak at one end of the open office. All other areas have full signal.,simple
touchpad too sensitive,simple
Sleep mode works but hibernate corrupts a file on the desktop each time.,complex
cache inconsistency between environments stale responses,complex
Different users see different versions of the same shared document simultaneously.,complex
Three people on the same team can't open the same SharePoint folder. Others can.,moderate
printer connected but prints wrong format,moderate
DNS queries from the guest VLAN 99 timing out — affects all six users on guest network today. Forwarders on DNS server reachable from server itself but firewall rule between VLAN 99 and resolver may be dropping UDP 53 traffic,moderate
Laptop lid closes but screen stays on.,simple
Cursor jumps to random position while typing on laptop.,moderate
CDP completely non-functional across 145 switches after upgrading Cisco Prime Infrastructure to version 3.10.4 — Prime showing zero CDP neighbors despite confirming cdp run and per-interface cdp enable on all devices via direct CLI. Rolled back Prime to 3.9.1 on Sunday — CDP topology still not populating. Direct CLI verification confirms CDP adjacencies active everywhere,complex
Shared OneNote notebook shows different content on desktop versus browser for same user.,complex
A remote user's audio cuts out during video calls every time someone else on the call shares their screen,moderate
User needs read access to a specific project folder they've been added to,simple
"Desktop shows in Safe Mode, black screen in normal boot.",moderate
Unable to resolve external hostnames from my Linux workstation since this morning — dig @8.8.8.8 works fine but dig @10.0.0.53 returns REFUSED. Internal DNS seems misconfigured for my machine. No changes were made,simple
User's desktop icons are invisible but reappear when hovered over.,moderate
User's messages in group chat visible to everyone except one specific participant.,complex
A load balancer distributing traffic across three app servers started routing all sessions to one server only. Health checks show all three as healthy.,complex
PC powers off when plugged into a specific power strip.,simple
"After a DNS server change, internal hostnames resolve correctly from the office but not for remote users even after flushing DNS cache on their machines",complex
Wireless keyboard has input delay only for the first keystroke after idle.,simple
Daily scheduled backup job fails every Monday but runs successfully Tuesday through Sunday. No changes were made to the backup schedule.,complex
Numpad not working even with Num Lock on.,simple
Desktop background changed to black. User didn't change it.,simple
NAT rule seems broken specifically for my PC at 192.168.5.201 — all external websites time out but internal servers load instantly. Every other device on my desk subnet reaches internet without any issues at all,simple
User's email signature is missing images when received by external recipients,moderate
"Two monitors set as extended display, but both show the same screen.",moderate
Outlook calendar reminders fire twice for every event.,moderate
Laptop screen brightness won't go below 50% using the keyboard shortcut,simple
000 internal clients affected. RPZ configured but attack traffic still at 800Mbps,complex
An internal monitoring dashboard stopped displaying real-time data for one of five data sources. The source itself is live and accessible directly. The dashboard shows stale data only for that feed.,complex
Projector in the main conference room doesn't switch inputs automatically when a laptop is connected,simple
Application installed for all users but appears only in one user's Start menu.,moderate
network spikes during uploads,moderate
User needs the corporate wallpaper applied to their desktop,simple
Can't open PDF attachments in email.,simple
A legacy application that runs in compatibility mode stopped working after a cumulative Windows update. Uninstalling the update causes other critical apps to break.,complex
Laptop screen has a small green dot that disappears when a white background is displayed.,simple
"After replacing a network switch, IP phones on that segment register with the PBX but drop all calls after exactly 60 seconds",complex
Port forwarding rule for my hosted test server at 10.5.5.22 on TCP port 3000 stopped working after yesterday's maintenance window. External access completely broken. No firewall changes were requested from our team at all,simple
User wants to know how to set an out-of-office reply,simple
Video plays fine on YouTube but stutters on the internal training portal,moderate
sync not updating changes immediately,moderate
Domain login fails only from the office network. Works fine on VPN from home.,complex
User's machine intermittently sends print jobs to a decommissioned printer that no longer exists.,complex
Print queue shows job as completed but paper never came out.,moderate
VPN client launches but tray icon never appears. Connection established but unmanageable.,complex
Touchscreen stopped responding to touch.,simple
"After enabling MFA for a user, they can log into the web portal but cannot authenticate into the desktop app. The desktop app does not support MFA prompts.",complex
Peripheral works on all USB ports except the one next to the HDMI port.,simple
