problem_statement,complexity
Printer offline on 2nd floor.,Simple
"User can't log in. Password reset didn't help, SSO also failing, and IT says AD looks fine.",Complex
Outlook won't open.,Simple
Three users in the same building report VPN drops every afternoon but only on Tuesdays.,Complex
"Screen brightness stuck at max, adjustment slider does nothing.",Simple
New hire laptop won't join domain.,Moderate
"Mouse not working. Tried another port, still dead.",Simple
Finance app crashes on launch for one user. Others on same team fine. Reinstall didn't fix it.,Moderate
Wi-Fi keeps disconnecting every 20 minutes. Affects only this one laptop.,Moderate
Keyboard types wrong characters. US layout selected but keys don't match.,Moderate
Can't open PDF attachments in email.,Simple
Random BSODs on a 3-month-old machine. No consistent error code. Happens during video calls.,Complex
Copy-paste stopped working system-wide.,Simple
Scanner not detected after Windows update. Driver reinstall fails silently.,Moderate
User reports their desktop icons rearrange themselves after every reboot.,Moderate
Excel crashes when saving to a shared drive.,Moderate
Monitor shows 'No Signal' but cable is fine and GPU works on another screen.,Moderate
Entire department lost access to shared folder this morning. No permissions change was made.,Complex
Laptop fan very loud all the time.,Simple
Email sends fine internally but external recipients never get the messages. No bounce received.,Complex
Webcam not recognized in any app.,Simple
"A specific webpage loads for everyone except one user, even after clearing cache and trying incognito.",Moderate
PC turns on but no display. Beep code heard.,Moderate
User locked out after entering correct password. Lockout threshold set to 10.,Complex
Caps lock light blinks three times on startup then system halts.,Complex
Numpad not working even with Num Lock on.,Simple
Teams calls drop exactly at 30-minute mark for one specific user.,Complex
Microphone not picking up sound in meetings.,Simple
Application login works on desktop but fails on the same user's laptop with identical config.,Complex
USB drive not showing up.,Simple
Helpdesk software throws a 500 error when closing tickets assigned to one particular agent.,Complex
Second monitor flickers occasionally.,Simple
User's email signature appears blank to recipients on mobile but shows fine on desktop clients.,Moderate
Touchpad disabled itself and function key shortcut does nothing.,Simple
Network drive disconnects every night and doesn't reconnect until manually remapped.,Moderate
Battery drains fully in under two hours on a new laptop.,Moderate
System clock resets to 2009 on every reboot.,Moderate
Software license prompt appears even though license is valid and activated.,Moderate
Headset works in one app but not another.,Simple
"After migrating to new server, some users can search files but others get no results at all.",Complex
Scroll wheel on mouse is jumpy.,Simple
User says their sent emails appear in a colleague's sent folder.,Complex
VPN connects but user can't reach internal sites. Others on same VPN are fine.,Moderate
Right-click menu takes 10 seconds to appear.,Moderate
Single user's calendar stopped syncing. Exchange admin sees no errors server-side.,Complex
PC powers off when plugged into a specific power strip.,Simple
Antivirus quarantined a file that's needed for a business app. Restore doesn't stick.,Moderate
Laptop gets extremely hot only when docked.,Moderate
Notifications not appearing on desktop.,Simple
Two users share a printer but one gets correct output while the other's jobs print garbled text.,Complex
No sound from speakers.,Simple
VPN connects fine but only this user can't reach the internal wiki. Everyone else is fine.,Complex
Can't right-click on desktop.,Simple
Laptop shuts down randomly. Happens more when on battery but also on AC occasionally.,Moderate
"Two monitors, one keeps going black for a second then comes back.",Moderate
Printer says ready but nothing prints.,Simple
User's Outlook search returns emails from 2019 but nothing recent.,Moderate
My PC is slow.,Simple
"After password change, user is locked out within minutes despite entering correct credentials.",Complex
App opens but buttons are unresponsive. Worked yesterday.,Moderate
USB mouse lags only in one specific corner of the screen.,Complex
Can't find the Recycle Bin.,Simple
Three people on the same team can't open the same SharePoint folder. Others can.,Moderate
Laptop keyboard works but spacebar needs to be pressed hard.,Simple
Zoom video freezes every few minutes. Audio stays connected. Reinstall didn't help.,Moderate
"User reports receiving duplicate emails, same sender, same timestamp, two copies.",Complex
Screen goes to sleep and won't wake up without a hard reboot.,Moderate
New laptop. Nothing installed yet. Already running at 80% CPU.,Moderate
Excel file won't open. Says it's in use but no one else has it open.,Moderate
Numpad produces letters instead of numbers.,Simple
One user's sent emails are arriving in recipients' inboxes with a two-hour delay.,Complex
"Headphones connected, no sound, correct device selected.",Simple
Browser homepage keeps resetting after every launch.,Moderate
Computer won't recognize any USB device. Ports all tested fine on another machine.,Moderate
User says files are disappearing from their desktop overnight. No one else has access.,Complex
Scroll bar missing in one application.,Simple
Domain login fails only from the office network. Works fine on VPN from home.,Complex
Laptop doesn't charge when connected to the dock but charges fine with direct cable.,Moderate
Auto-correct keeps changing a specific word that's spelled correctly.,Simple
Two users swapped desks and now both have permission issues they didn't have before.,Complex
Taskbar disappeared.,Simple
Laptop screen has a small dead pixel cluster in the corner.,Simple
Antivirus keeps flagging a known-safe internal tool after every update.,Moderate
File copy to network share stops at exactly 2GB every time.,Complex
Keyboard shortcut for screenshot stopped working.,Simple
Meeting room PC won't connect to the TV via HDMI. Cable is fine on other devices.,Moderate
Same user gets certificate errors on three different browsers on two different machines.,Complex
"Dropdown menu in one web app is cut off, can't select lower options.",Simple
PC takes 15 minutes to boot. Happens since last Windows update.,Moderate
User is getting calendar invites in a language they didn't set.,Moderate
Caps Lock indicator light doesn't match actual caps lock state.,Simple
"Four apps share a login. User changed password in one, now two of the four reject it.",Complex
Wi-Fi shows connected but browser says no internet.,Moderate
Notification sounds playing at random even when system volume is muted.,Complex
Webcam works in Teams but not in Zoom.,Moderate
"Laptop lid close does nothing, screen stays on.",Simple
One user's print jobs route to a printer on a different floor despite correct default set.,Complex
External hard drive shows up but files aren't visible.,Moderate
Task Manager won't open.,Simple
User on a shared workstation sees another user's desktop background and pinned apps after login.,Complex
Clock on PC shows wrong time even after manual correction.,Moderate
User gets logged out of one specific internal app every 9 minutes exactly.,Complex
Delete key not working.,Simple
"Same Excel macro runs fine on my PC, crashes on colleague's identical setup.",Complex
Monitor resolution resets to 1024x768 after every reboot.,Moderate
Phone won't pair with laptop.,Simple
Shared calendar shows different appointments depending on which machine you view it from.,Complex
App installed fine but icon won't appear on desktop.,Simple
One department's emails are going to spam for external recipients. Other departments are fine.,Complex
Touchscreen stopped responding to touch.,Simple
PC restarts during Windows updates but updates never finish.,Moderate
Microphone volume resets to zero every time the laptop sleeps.,Moderate
PDF prints with missing images even though they show in preview.,Moderate
Internet works but Windows says no internet access.,Moderate
User's name shows incorrectly in all Microsoft 365 apps after a legal name change.,Moderate
Laptop hinge cracked.,Simple
"Two users share a mailbox. One sees all folders, the other sees only Inbox.",Complex
External webcam recognized but shows black screen in every app.,Moderate
Start menu search returns no results.,Moderate
Screensaver activates after 1 minute regardless of power settings.,Moderate
Single key on keyboard registers double input.,Simple
Mapped drive shows as connected but throws error when accessed.,Moderate
"After rejoining domain, user lost all desktop shortcuts and browser bookmarks.",Moderate
Remote desktop disconnects the moment a second monitor is enabled on the remote machine.,Complex
Wi-Fi adapter missing from Device Manager after update.,Moderate
User receives out-of-office replies from themselves when emailing colleagues.,Complex
Docking station works for everyone else but causes this laptop to freeze on connect.,Complex
Speakers distort sound at any volume level.,Simple
File server accessible by IP but not by hostname from one specific machine.,Complex
Copy-paste works everywhere except into one web application.,Moderate
Teams status stuck on Away even when actively using the computer.,Moderate
"PC won't boot. Power light comes on, fans spin, nothing on screen.",Moderate
Specific font missing from Word but installed and visible in Control Panel.,Moderate
User's email autocomplete keeps suggesting wrong address for a common contact.,Simple
Application works fine until a second user logs into the same shared PC.,Complex
Volume control slider moves but output level doesn't change.,Simple
Laptop battery shows 100% but drops to 0 within 10 minutes.,Moderate
One user gets a blank white page on the intranet. All others load it fine.,Moderate
System tray icons disappear after waking from sleep.,Simple
"After moving to a new desk, user's second monitor is no longer detected.",Simple
Three different users report that their default browser resets to Edge after each update.,Moderate
Cursor jumps to random position while typing on laptop.,Moderate
User's print queue clears but pages never come out of the printer.,Moderate
Same password rejected by one system but accepted by four others simultaneously.,Complex
Keyboard backlight won't turn off.,Simple
Specific contact's emails always land in junk despite being whitelisted three times.,Complex
Desktop background changed to black. User didn't change it.,Simple
"App performance degrades progressively throughout the day, fresh login fixes it until next day.",Complex
CD drive tray opens and closes but disc isn't read.,Simple
"Two monitors set as extended display, but both show the same screen.",Moderate
Printer jammed.,Simple
